,ID,TITLE,KEYWORDS
0,100819, Xserve: How to remotely mount a CD in “headless“ configuration,"['mount cd', 'cd headless', 'eject cd', 'remotely mount', 'diskx command']"
1,101285," MacBook (13-inch, Aluminum, Late 2008) and MacBook Pro (15-inch, Late 2008): About the battery indicator lights","['battery indicator', 'indicator light', 'indicator lights', 'indicates battery', 'verify battery']"
2,100825, MobileMe: About  .Mac Groups,"['groups mobileme', 'groups mac', 'groups folder', 'mac groups', 'mac group']"
3,100831, MacBook Air: How to configure your MacBook Air with Setup Assistant,"['configure macbook', 'air setup', 'mac setup', 'air configure', 'setup assistant']"
4,101291, How to re-create your iTunes library and playlists,"['playlists itunes', 'itunes library', 'file itunes', 'windows itunes', 'itunes folder']"
5,100164, Logic Pro: How to maintain a separate version of Logic Node for version 7,"['logic node', 'install logic', 'logic studio', 'logic pro', 'version logic']"
6,102015, PowerBook 100 through PowerBook 5300: Resetting Power Management Unit (PMU),"['resets powerbook', 'powerbook reset', 'resets power', 'reset powerbooks', 'resetting power']"
7,100602, Pages '09: The inspector window,"['inspector toolbar', 'open inspector', 'window format', 'controls inspector', 'formatting options']"
8,101508, Mac 101: Using Windows via Boot Camp with Mac OS X 10.5 Leopard,"['windows leopard', 'run windows', 'boot campfor', 'operating mac', 'windows mac']"
9,100616, How to clean an LCD panel,"['clean lcd', 'wipe screen', 'displays clean', 'lcd panel', 'screen spray']"
10,102001, USB and FireWire Quick Assist,"['usb firewire', 'firewire devices', 'firewire device', 'firewire port', 'firewire ports']"
11,100170, Gamma handling is different in Shake and Final Cut Pro,"['quicktime rgb', 'gamma quicktime', 'rendering gamma', 'gamma rgb', 'display gamma']"
12,100158, Test,['test test']
13,101246, How to sync music to your iPod when your library is bigger than your iPod storage space,"['synced ipod', 'ipods syncedif', 'ipod storage', 'sync music', 'ipod library']"
14,101520, How to upgrade your MobileMe account,"['upgrade mobileme', 'upgrading mobileme', 'mobileme account', 'account upgrade', 'account mobileme']"
15,102029, Troubleshooting Studio Display DVI 15 inch,"['dvi screen', 'dvi computer', 'loose dvi', 'display dvi', 'display failures']"
16,101534, iSync 2: How to set up a USB Palm OS device to sync with your computer,"['synchronize palm', 'sync palm', 'palm hotsync', 'usb palm', 'install palm']"
17,101252, Apple Portables: Noises from the optical drive,"['drive noises', 'portables noises', 'noises optical', 'optical disc', 'optical drive']"
18,101905, Promise VTrak: SAS-connected Expansion Chassis Only: Xsan (Data Only) configuration script,"['vtrak sas', 'vtrak raid', 'sas configurations', 'xsan expansion', 'configured raid']"
19,101911, Understanding iPod shuffle's status lights,"['disconnecting ipod', 'disconnect ipod', 'eject ipod', 'status light', 'status lights']"
20,101939, Working with architecture-specific NetBoot images,"['netboot images', 'netboot image', 'images netboot', 'netboot imagesystem', 'creating netboot']"
21,100399, Apple Portables: Wait for your computer to fully shut down before closing the display,"['closing display', 'close display', 'shutting apple', 'shutting computer', 'shut completely']"
22,101087," Sync  .Mac Bookmarks with Safari before June 30, 2008","['mac bookmarks', 'bookmarks safari', 'bookmarks synchronization', 'bookmarks sync', 'bookmarks synchronized']"
23,101093, The Warnings Window,"['document warnings', 'keynote document', 'warnings window', 'document keynote', 'warning messages']"
24,100400," MacBook Pro (15-inch, Late 2008): How to safely remove the access door","['door remove', 'latch removing', 'access door', 'security slot', 'latch access']"
25,101078, Macintosh: Using 128 GB or Larger ATA Hard Drives,"['larger drives', 'capacity drive', 'drives macintosh', 'larger ata', 'gb drive']"
26,100366, LiveType: Projects Default to NTSC,"['livetype settings', 'pal settings', 'change livetype', 'pal preset', 'choose livetype']"
27,100372, Power Mac G5: Remove Plastic Strips From Door,"['strips door', 'computer door', 'door remove', 'remove plastic', 'plastic strips']"
28,100414," iMac, Power Macintosh G3 (Blue and White): Custom Install Resets Desktop Pattern","['desktop pattern', 'resets desktop', 'resets custom', 'desktop picture', 'install resets']"
29,101722, About Security Update 2007-001,"['quicktime cve', 'quicktime updated', 'quicktimeplayer exe', 'ensure quicktime', 'checking quicktime']"
30,101044, iPod Camera Connector: Supported Devices,"['ipod camera', 'camera connector', 'connect camera', 'compatible ipod', 'supports ipod']"
31,101050, iCal: Publishing calendars to MobileMe is different from syncing calendars via MobileMe Sync,"['calendars mobileme', 'mobileme calendar', 'calendar mobileme', 'ical publish', 'ical calendars']"
32,100428, Beeline Online Support Resources,"['need beeline', 'beeline online', 'russia help', 'online support', 'support information']"
33,101736, Networking with a Windows PC,"['computer network', 'computers network', 'networking windows', 'connect computers', 'computer share']"
34,101871, Bluetooth: How to set up your Apple Wireless Keyboard,"['wireless keyboard', 'wireless keyboards', 'keyboard setup', 'install keyboard', 'wireless keyboardcheck']"
35,101865," iPod, iTunes for Windows FAQ (frequently asked questions)","['windowsusing itunes', 'windows ipod', 'windows itunesipod', 'windowsconnecting ipod', 'itunes windowsipod']"
36,101695, Applications don't work after reinstalling Mac OS X,"['working reinstall', 'reinstallation mac', 'reinstallation things', 'reinstall application', 'reinstalling mac']"
37,101859, Promise VTrak: RAID Controllers - Direct Attached with Spares configuration script,"['raid controllers', 'vtrak raid', 'raid luns', 'promise raid', 'data2 raid']"
38,101681, Mac OS X 10.4: iChat system requirements,"['ichat requirements', 'ichat audio', 'video conferencing', 'audio conferencing', 'conferencing audio']"
39,100574, Mac mini: About the DVI to VGA Adapter,"['mini dvi', 'vga adapter', 'apple dvi', 'display adapter', 'video adapter']"
40,100212, Mac OS X Server 10.4: Product License Key must be entered in lowercase,"['license key', 'product license', 'key invalid', 'entered license', 'enter license']"
41,100206, Placeholder for upcoming OS product feature,"['placeholder feature', 'feature placeholder', 'placeholder upcoming', 'upcoming os', 'product feature']"
42,101118," Mac OS X Server 10.2, 10.3: Assigning static IP addresses via DHCP","['domain dhcp', 'static ip', 'dhcp server', 'dhcp using', 'addresses dhcp']"
43,100560, Install Mac OS 9 to use Classic applications,"['install classic', 'use classic', 'classic applications', 'imac g5', 'macintosh g5']"
44,101656, How to copy previously-burned DVD-R video discs,"['duplicate dvd', 'burned dvd', 'copy disk', 'eject dvd', 'idvd dvd']"
45,100548, Keynote: How to disable applications from opening during a Keynote presentation,"['keynote disable', 'window keynote', 'keynote open', 'open keynote', 'disable applications']"
46,101130, MPEG-2 export options in Final Cut Pro: Compressor and QuickTime,"['compressor quicktime', 'mpeg encoder', 'mpeg export', 'quicktime export', 'pro mpeg']"
47,101124, Upgrading Mac OS X 10.4.10 clients to Mac OS X Server 10.4.x,"['client upgrade', 'upgrade clients', 'download macosxserverinstall', 'use macosxserverinstall', 'macosxserverinstall dmg']"
48,101642, About the Mac OS X 10.4.10 Update (combo),"['macs updating', 'update mac', 'updates mac', '10 update', 'updates 10']"
49,100979, Mac OS X and hard drive manufacturers report hard drive capacity differently (SSD Media excluded),"['drive capacity', 'gb storage', 'missing storage', 'storage capacity', 'understanding storage']"
50,100951, What to do if your PowerBook or iBook does not operate from AC power,"['adapter powerbook', 'powerbook ibook', 'power adapter', 'powerbook wait', 'ac power']"
51,101497, iPhone Bluetooth Headset,"['headsetconnect iphone', 'headset iphone', 'iphone headset', 'using headset', 'bluetooth headsetconnect']"
